studentID,abi_note,abi_m_note,m_vertief,m_vorbereit,finanz_eltern,sprache,fachsem,sex,gebu,Zulassung,ProzentT1,NoteT1,ProzentT2,NoteT2,ProzentP,NoteP,bfi_ex,bfi_ve,bfi_ge,bfi_ne,bfi_of,iq,Ikont,Ekont,fw_pkt,Av,Iv,Se,Uv,Co,Pa,Na,aist_r,aist_i,aist_a,aist_s,aist_e,aist_c
student3,1.6,2.25,1.0,0,1,0,1.0,1.0,1999.0,1.0,0.46,4.0,0.44,5.0,0.45,4.0,3.67,4.0,4.67,4.0,4.0,123,4.5,3.5,9,3.25,3.75,2.5,3.25,2.17,3.6,2.5,4.4,5.0,2.0,2.0,3.0,2.2
student30,2.2,2.1,1.0,0,1,0,1.0,1.0,1998.0,1.0,0.87,1.3,0.41,5.0,0.64,3.0,1.33,4.67,1.67,3.67,4.67,137,4.0,2.5,11,3.0,4.0,2.5,1.25,3.0,3.2,2.9,2.8,3.8,4.8,4.4,2.2,2.6
student31,2.5,3.5,0.0,0,1,0,1.0,1.0,1999.0,1.0,0.17,5.0,,,0.09,5.0,2.67,3.33,2.67,1.67,3.0,133,4.0,1.5,9,2.75,3.0,2.33,3.0,1.83,3.5,1.7,1.6,1.8,3.2,4.2,2.4,2.0
student32,3.0,2.25,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.29,5.0,,,0.15,5.0,1.33,2.33,1.33,3.33,3.33,109,5.0,1.5,11,3.0,3.0,2.25,2.5,1.67,2.7,3.2,2.2,4.2,1.0,4.0,2.8,2.6
student33,1.0,1.0,1.0,0,0,0,1.0,1.0,1998.0,1.0,0.57,3.3,0.54,3.7,0.56,3.3,4.33,4.33,3.67,2.33,3.67,133,4.5,1.5,13,3.0,3.5,2.5,3.0,2.33,3.7,1.7,1.4,2.8,2.6,3.4,3.8,2.0
student34,2.5,4.0,0.0,0,1,0,1.0,1.0,1997.0,1.0,0.33,5.0,0.26,5.0,0.3,5.0,3.67,3.33,3.0,3.33,3.33,95,5.0,2.5,6,3.0,3.25,2.25,3.25,2.33,3.4,2.5,1.6,2.4,2.2,4.2,3.4,3.6
student35,2.3,2.5,1.0,0,1,0,1.0,1.0,1998.0,1.0,0.51,3.7,0.4,5.0,0.46,4.0,3.0,3.67,3.67,3.67,4.0,154,4.0,2.5,12,3.0,3.25,2.0,3.5,2.33,3.0,2.2,3.6,4.0,2.6,2.8,3.2,3.6
student36,1.6,1.6,0.0,0,1,0,1.0,1.0,1999.0,1.0,0.36,5.0,0.33,5.0,0.35,5.0,2.0,4.67,5.0,3.33,1.67,113,4.0,3.0,10,2.75,3.75,2.25,3.5,3.67,3.4,2.0,1.0,3.2,2.0,3.8,2.0,1.4
student37,2.1,12.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.48,4.0,0.34,5.0,0.41,5.0,2.67,5.0,2.67,1.0,3.5,106,4.0,1.5,6,2.75,3.0,2.5,2.25,3.0,3.6,1.7,1.8,2.8,3.4,1.25,2.4,1.0
student38,1.4,13.0,0.0,0,1,0,1.0,1.0,1997.0,1.0,0.39,5.0,0.49,4.0,0.44,5.0,4.33,5.0,4.0,2.0,3.33,123,5.0,1.0,11,3.25,3.75,2.5,3.25,1.67,4.6,1.4,2.4,3.6,2.6,4.0,4.6,10.6
student39,1.9,13.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.4,5.0,0.32,5.0,0.36,5.0,3.33,3.33,3.67,3.33,4.0,109,4.5,2.5,9,3.25,4.0,2.0,3.25,2.67,4.3,2.4,1.6,1.8,2.4,4.0,2.4,2.2
student4,1.9,1.0,4.0,0,1,0,1.0,0.0,1995.0,1.0,0.79,2.0,0.59,3.3,0.69,2.7,3.67,3.67,3.33,2.67,3.33,120,4.5,1.5,15,2.75,3.5,2.25,3.5,2.33,3.9,2.5,3.8,3.8,1.6,4.2,3.8,2.0
student40,2.3,12.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.54,3.7,0.4,5.0,0.47,4.0,3.0,4.33,4.33,4.0,3.33,144,3.5,2.0,11,3.0,4.0,2.5,3.0,2.17,3.8,2.0,1.8,2.4,3.8,4.2,3.4,2.2
student41,1.6,1.7,0.0,0,1,0,1.0,1.0,1997.0,1.0,0.42,5.0,0.41,5.0,0.42,5.0,4.67,4.0,3.67,2.0,3.33,109,5.0,1.0,4,3.0,3.0,2.0,3.25,2.5,4.1,1.2,2.2,3.0,4.2,4.6,4.2,2.6
student42,2.1,9.0,0.0,0,1,0,1.0,0.0,1999.0,1.0,0.44,5.0,0.53,3.7,0.49,4.0,3.33,4.33,4.33,2.33,2.67,99,4.0,2.0,8,3.0,3.25,2.0,3.5,3.17,4.3,2.4,1.8,2.8,1.8,2.8,4.0,2.6
student43,2.3,3.0,1.0,0,1,0,1.0,0.0,1997.0,1.0,0.42,5.0,0.31,5.0,0.37,5.0,3.67,3.67,2.33,2.0,4.67,120,3.5,2.5,10,3.25,3.75,2.5,3.25,2.17,3.9,1.9,4.0,4.8,2.6,3.0,4.6,2.8
student44,1.66,14.0,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.74,2.3,0.68,2.7,0.71,2.3,1.67,4.67,4.0,4.33,4.0,113,4.0,1.5,9,3.0,3.75,2.5,1.75,2.17,2.9,3.4,1.6,3.4,3.2,4.8,2.4,1.6
student45,1.8,15.0,0.0,0,1,0,1.0,0.0,1996.0,1.0,0.74,2.3,0.62,3.0,0.68,2.7,4.0,3.33,3.67,1.67,3.0,95,5.0,1.0,10,3.25,3.5,2.5,3.0,2.33,4.3,1.3,3.4,4.75,1.0,2.0,2.5,1.8
student46,2.0,1.0,0.0,0,1,2,1.0,1.0,1998.0,1.0,0.33,5.0,0.41,5.0,0.37,5.0,3.0,4.33,4.67,1.67,3.33,116,5.0,1.5,8,3.25,3.5,2.25,3.5,3.0,4.3,1.5,3.2,2.8,2.0,2.0,3.4,3.8
student47,1.3,1.3,1.0,1,1,0,1.0,1.0,1996.0,1.0,0.58,3.3,0.62,3.0,0.6,3.0,4.0,3.0,3.0,3.0,4.67,102,4.0,1.5,13,3.0,4.0,2.25,2.5,2.17,4.1,2.2,1.25,4.0,4.0,4.4,3.4,1.6
student48,1.1,1.0,1.0,1,1,0,5.0,1.0,1997.0,1.0,0.67,2.7,0.69,2.7,0.68,2.7,2.0,4.33,5.0,4.67,4.67,137,3.5,3.5,12,3.0,4.0,2.25,1.25,2.67,3.1,3.3,3.6,4.4,4.4,4.8,1.8,1.0
student49,3.0,2.0,1.0,0,1,2,1.0,1.0,1999.0,1.0,0.19,5.0,0.16,5.0,0.18,5.0,2.0,3.67,4.67,1.33,3.0,123,3.5,2.0,6,2.0,1.0,1.75,2.5,2.0,3.6,1.4,1.4,4.0,2.0,3.8,3.0,2.2
student5,1.2,15.0,1.0,0,1,0,1.0,1.0,1999.0,1.0,0.74,2.3,0.74,2.3,0.74,2.3,3.67,4.0,4.67,1.33,4.67,130,5.0,2.0,16,3.25,4.0,2.5,4.0,1.5,4.4,1.4,4.0,4.4,2.6,3.6,4.8,3.8
student50,1.2,1.0,0.0,1,1,0,1.0,1.0,1997.0,1.0,0.62,3.0,0.7,2.3,0.66,2.7,3.0,2.67,2.33,1.33,4.0,147,4.5,1.5,14,2.5,4.0,2.25,2.0,1.83,4.0,1.3,1.2,3.0,4.2,3.6,2.2,1.0
student51,1.0,1.6,1.0,1,1,0,2.0,1.0,1997.0,1.0,0.73,2.3,0.73,2.3,0.73,2.3,3.33,2.33,2.0,3.67,4.33,127,3.5,2.5,14,2.0,3.75,13.25,3.25,3.17,3.8,3.6,3.8,4.4,4.2,3.8,2.8,1.2
student52,2.6,2.0,0.0,1,1,0,1.0,1.0,1998.0,,,,,,,,3.33,4.67,3.33,2.0,3.0,95,4.5,2.0,8,3.5,3.5,2.75,3.0,1.67,4.0,1.78,1.6,4.0,2.4,3.2,3.0,2.6
student53,1.8,1.5,0.0,0,1,0,1.0,0.0,1998.0,1.0,0.63,3.0,0.57,3.3,0.6,3.0,1.0,2.33,3.0,3.0,4.0,116,3.5,4.0,14,3.25,2.25,2.25,3.25,3.0,2.7,2.8,1.6,2.4,3.2,2.6,3.6,2.8
student54,2.5,2.1,0.0,0,1,0,1.0,1.0,1998.0,,,,,,,,3.67,4.33,3.33,2.67,2.33,120,4.0,2.5,10,2.75,3.0,2.0,3.5,3.17,3.4,1.6,2.0,2.8,3.2,3.6,2.4,2.0
