studentID,abi_note,abi_m_note,m_vertief,m_vorbereit,finanz_eltern,sprache,fachsem,sex,gebu,Zulassung,ProzentT1,NoteT1,ProzentT2,NoteT2,ProzentP,NoteP,bfi_ex,bfi_ve,bfi_ge,bfi_ne,bfi_of,iq,Ikont,Ekont,fw_pkt,Av,Iv,Se,Uv,Co,Pa,Na,aist_r,aist_i,aist_a,aist_s,aist_e,aist_c
student73,1.1,15.0,0.0,0,1,0,1.0,0.0,1998.0,1.0,0.72,2.3,0.61,3.0,0.67,2.7,2.33,3.33,2.67,1.0,4.0,116,4.0,2.0,14,2.75,3.0,2.25,3.0,2.0,3.6,1.3,2.4,3.0,2.0,1.2,2.4,3.0
student74,1.7,1.3,1.0,0,1,0,1.0,0.0,1998.0,1.0,0.72,2.3,0.77,2.0,0.75,2.3,3.33,3.33,2.33,2.67,3.33,127,3.5,1.0,10,3.25,3.75,2.5,2.75,2.67,3.5,1.5,3.4,4.0,2.6,1.8,2.4,1.0
student75,1.1,15.0,1.0,0,1,0,1.0,0.0,1999.0,1.0,0.75,2.0,0.74,2.3,0.75,2.3,4.0,3.67,3.67,1.67,4.0,123,4.5,2.0,14,2.25,2.25,2.25,3.25,2.17,3.8,2.2,2.8,2.8,2.6,4.0,4.6,2.6
student76,1.3,1.0,1.0,0,1,0,1.0,0.0,1998.0,1.0,0.72,2.3,0.68,2.7,0.7,2.3,2.67,4.33,2.67,4.0,3.67,120,3.5,1.5,7,2.5,4.0,2.5,3.25,2.5,3.5,2.8,3.0,5.0,2.0,3.4,4.4,3.0
student77,1.7,1.3,0.0,0,0,0,1.0,1.0,1996.0,1.0,0.63,3.0,0.51,3.7,0.57,3.3,4.33,4.33,2.0,1.33,4.33,133,4.5,1.5,11,1.75,2.75,2.5,2.5,3.17,4.2,1.3,2.6,3.4,4.0,4.6,3.4,1.4
student78,1.0,1.0,1.0,0,1,0,1.0,0.0,1999.0,1.0,0.77,2.0,0.77,2.0,0.77,2.0,3.0,3.33,2.33,4.0,4.67,123,4.0,2.0,19,3.25,4.0,2.25,3.0,2.67,3.7,2.6,3.6,4.8,3.6,2.8,3.6,3.2
student79,1.9,2.25,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.5,3.7,0.64,3.0,0.57,3.3,2.33,2.33,3.0,2.33,4.0,116,4.5,2.0,7,2.5,3.0,2.25,2.75,3.0,3.2,2.8,3.0,4.2,2.4,2.0,3.6,2.8
student8,1.6,10.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.25,5.0,,,0.13,5.0,3.33,4.0,4.0,3.67,2.67,88,4.0,3.5,7,3.0,3.25,2.25,3.25,2.67,4.0,2.4,1.0,2.2,2.0,4.6,3.0,1.0
student80,1.8,12.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.67,2.7,0.61,3.0,0.64,3.0,3.67,4.0,4.67,4.0,3.33,109,4.0,1.5,10,2.75,3.75,2.5,3.0,3.0,3.9,1.6,1.4,2.2,3.8,4.8,4.4,3.0
student81,1.6,1.3,1.0,1,1,0,1.0,0.0,1998.0,1.0,0.87,1.3,0.76,2.0,0.81,1.7,3.67,2.0,2.0,2.33,5.0,116,3.5,2.5,19,2.75,4.0,2.5,3.33,2.67,3.22,2.0,2.0,3.0,2.6,2.4,3.75,2.8
student82,2.1,13.0,1.0,0,1,0,1.0,0.0,1997.0,1.0,0.67,2.7,0.32,5.0,0.5,4.0,3.33,3.67,2.67,2.33,5.0,106,4.0,2.5,10,3.0,3.0,2.0,2.75,2.33,4.1,1.5,4.4,4.8,3.8,4.0,3.6,2.2
student83,2.0,12.0,0.0,0,1,0,1.0,0.0,1998.0,1.0,0.56,3.3,0.6,3.0,0.58,3.3,4.0,5.0,4.0,2.33,4.67,123,4.5,3.0,14,2.75,3.75,2.75,3.0,2.17,3.9,1.8,2.4,5.0,2.0,3.6,4.2,1.4
student84,1.5,15.0,0.0,0,1,1,1.0,0.0,1999.0,1.0,0.49,4.0,0.6,3.0,0.55,3.7,4.0,3.0,5.0,3.0,4.33,123,4.5,1.0,11,3.0,3.5,2.5,3.75,3.17,4.4,1.9,2.2,3.2,3.6,4.0,4.6,3.6
student85,2.5,2.3,,0,1,0,1.0,0.0,1996.0,1.0,0.23,5.0,0.27,5.0,0.25,5.0,2.33,3.0,4.0,1.0,3.0,109,4.0,2.0,9,3.0,3.25,2.25,2.75,1.83,3.8,1.8,4.0,4.4,1.4,1.8,1.6,1.8
student86,2.1,1.0,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.27,5.0,,,0.14,5.0,4.0,3.33,3.33,1.67,4.0,120,4.0,2.0,5,2.5,3.25,2.25,2.75,2.33,4.1,2.0,2.6,2.4,2.6,4.5,4.2,2.4
student87,2.1,2.0,0.0,1,0,0,1.0,0.0,1997.0,1.0,0.4,5.0,,,0.2,5.0,3.33,4.0,3.33,1.33,3.67,109,4.5,1.5,14,2.25,3.0,2.25,2.75,1.33,3.9,1.2,2.8,3.6,2.4,3.2,2.8,1.8
student88,2.9,3.3,0.0,0,1,0,1.0,0.0,1995.0,1.0,0.46,4.0,0.25,5.0,0.36,5.0,2.33,3.0,3.0,1.33,3.67,140,4.5,2.0,10,3.0,3.0,2.25,2.67,2.0,3.3,2.0,3.2,3.8,2.6,2.0,2.8,2.0
student89,2.3,3.2,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.58,3.3,0.55,3.3,0.57,3.3,4.0,2.33,2.0,5.0,4.33,120,4.0,2.5,10,3.25,4.0,2.5,3.5,2.33,3.0,4.3,1.6,4.4,2.2,2.4,3.2,1.2
student9,,,0.0,0,1,0,,1.0,1995.0,1.0,0.38,5.0,0.18,5.0,0.28,5.0,2.67,4.0,3.0,3.67,3.0,116,5.0,2.0,9,3.0,3.25,2.25,3.25,2.5,3.9,2.1,2.0,3.0,1.5,4.0,3.6,3.2
student90,1.7,1.3,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.54,3.7,0.66,2.7,0.6,3.0,3.33,3.67,4.33,1.67,3.33,109,4.0,2.0,14,3.25,3.25,2.25,2.75,2.5,4.1,1.6,1.8,3.2,1.8,4.0,4.0,2.4
student91,1.8,1.3,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.52,3.7,0.5,3.7,0.51,3.7,4.33,3.67,3.0,2.67,4.33,109,4.5,2.0,13,2.75,2.5,2.0,2.5,3.33,4.0,2.3,3.4,3.6,4.2,3.0,4.4,3.4
student92,3.4,3.3,1.0,0,1,1,1.0,0.0,1999.0,1.0,0.22,5.0,0.39,5.0,0.31,5.0,3.0,3.5,2.33,3.33,2.67,123,4.5,3.0,8,2.75,3.5,2.5,3.0,2.4,3.6,3.0,3.4,4.0,2.0,2.8,2.4,2.0
student93,1.5,1.0,0.0,0,1,0,1.0,0.0,1998.0,1.0,0.6,3.0,0.53,3.7,0.57,3.3,2.67,2.67,4.0,1.0,3.33,123,5.0,1.0,12,3.25,3.0,2.25,3.33,2.67,3.6,1.6,3.0,3.0,2.4,2.0,3.8,3.6
student94,1.6,1.5,1.0,1,1,1,2.0,0.0,1996.0,1.0,0.66,2.7,0.81,1.7,0.74,2.3,2.0,3.67,2.67,3.33,4.33,113,3.5,3.5,11,3.25,3.5,2.0,3.0,2.67,3.2,3.0,3.0,4.6,3.2,1.8,1.2,2.2
student95,1.9,2.75,1.0,0,0,0,1.0,0.0,1998.0,1.0,0.26,5.0,0.44,5.0,0.35,5.0,2.0,2.67,4.0,3.0,3.0,116,3.5,1.5,10,2.25,3.75,2.75,2.5,1.33,2.9,1.8,2.8,4.8,1.6,1.8,2.0,1.4
student96,1.9,1.4,1.0,0,1,0,1.0,0.0,1998.0,1.0,0.71,2.3,0.6,3.0,0.66,2.7,3.0,2.33,2.33,2.67,2.67,113,3.5,2.5,13,2.25,3.0,2.0,2.75,1.67,2.8,1.9,4.2,4.2,1.6,2.2,2.4,2.4
student97,2.5,1.0,0.0,0,1,0,1.0,0.0,1996.0,1.0,0.7,2.3,0.6,3.0,0.65,2.7,2.33,3.67,3.33,2.67,4.33,102,3.5,1.5,11,3.0,4.0,2.25,3.0,1.83,3.0,2.0,3.2,4.4,1.8,2.2,2.4,1.8
student98,1.4,14.0,1.0,0,1,0,1.0,0.0,1998.0,1.0,0.56,3.3,0.71,2.3,0.64,3.0,3.0,4.67,4.0,2.0,4.33,116,5.0,2.0,11,3.25,4.0,2.25,3.25,2.0,4.4,1.1,3.8,4.8,2.0,3.0,3.4,2.4
student99,2.4,,0.0,1,1,0,1.0,0.0,1999.0,1.0,0.38,5.0,0.24,5.0,0.31,5.0,2.67,2.67,2.0,3.33,3.33,113,4.0,2.0,13,3.0,4.0,1.67,3.33,2.67,3.0,1.6,4.2,4.6,2.0,1.4,1.8,1.6
